X frequency: 1000000
2022-07-11 15:29:15.489487777 offset: 0.001183510 
2022-07-11 15:29:15.490640937 offset: 0.001190662 
2022-07-11 15:29:15.491833880 offset: 0.001152992 
2022-07-11 15:29:15.495717527 offset: 0.001193047 
2022-07-11 15:29:15.496893887 offset: 0.003883600 
2022-07-11 15:29:15.498054904 offset: 0.001176357 
2022-07-11 15:29:15.499212943 offset: 0.001161098 
2022-07-11 15:29:15.500385472 offset: 0.001157999 
2022-07-11 15:29:15.501507935 offset: 0.001172543 
2022-07-11 15:29:15.503813123 offset: 0.001122475 
2022-07-11 15:29:15.505291776 offset: 0.002305031 
2022-07-11 15:29:15.506524671 offset: 0.001478672 
2022-07-11 15:29:15.507674522 offset: 0.001232862 
2022-07-11 15:29:15.509347934 offset: 0.001149893 
2022-07-11 15:29:15.510515052 offset: 0.001673460 
2022-07-11 15:29:15.511646317 offset: 0.001167059 
2022-07-11 15:29:15.512784081 offset: 0.001131296 
2022-07-11 15:29:15.514080244 offset: 0.001137733 
2022-07-11 15:29:15.515256542 offset: 0.001296282 
2022-07-11 15:29:15.516441415 offset: 0.001176357 
2022-07-11 15:29:15.517581886 offset: 0.001184702 
2022-07-11 15:29:15.519303274 offset: 0.001140594 
2022-07-11 15:29:15.520440419 offset: 0.001721382 
2022-07-11 15:29:15.521613205 offset: 0.001137018 
2022-07-11 15:29:15.523279138 offset: 0.001172781 
2022-07-11 15:29:15.524441637 offset: 0.001666069 
2022-07-11 15:29:15.525755470 offset: 0.001162529 
2022-07-11 15:29:15.526987890 offset: 0.001313686 
2022-07-11 15:29:15.528408662 offset: 0.001232386 
2022-07-11 15:29:15.529737733 offset: 0.001420975 
2022-07-11 15:29:15.530983587 offset: 0.001328945 
2022-07-11 15:29:15.532301792 offset: 0.001245975 
2022-07-11 15:29:15.533611334 offset: 0.001318216 
2022-07-11 15:29:15.534937804 offset: 0.001309395 
2022-07-11 15:29:15.536356463 offset: 0.001326561 
2022-07-11 15:29:15.537677507 offset: 0.001418591 
2022-07-11 15:29:15.538924509 offset: 0.001321077 
2022-07-11 15:29:15.540332915 offset: 0.001246929 
2022-07-11 15:29:15.541527850 offset: 0.001408577 
